eta	rho	it	sum_h	Hamming	MSE	E	train_error	test_error
0.0	0.0	4	487	0.482	0.002518913264739214	0.00034584831670841736	3.4584831670841735e-07	1.2922739897035236e-06
0.0001	0.0	6	486	0.48	0.004867463310573317	0.01100679749259975	8.348499358486233e-07	2.4797967614715385e-06
0.0002	0.0	5	487	0.478	0.014032315600852217	0.020534870178225532	2.638685493836678e-06	7.0606929986485005e-06
0.00030000000000000003	0.0	8	487	0.482	0.024410127073603554	0.02899674290777288	4.954705284561218e-06	1.2249864434672512e-05
0.0004	0.0	4	493	0.49	0.03504932799531566	0.03662550423036229	7.549317238747337e-06	1.754545417286646e-05
0.0005	0.0	4	489	0.478	0.04536832283234881	0.04357943689012991	1.0291284327826032e-05	2.2733062574012013e-05
0.0006000000000000001	0.0	7	489	0.486	0.05557716823847202	0.04995715696410243	1.3171977788128434e-05	2.784367713332817e-05
0.0007	0.0	7	494	0.488	0.06523495354810899	0.05585402647930886	1.6082869704936194e-05	3.2594163356624804e-05
0.0008	0.0	7	490	0.484	0.07462661355679476	0.06133119917388144	1.9052481079421088e-05	3.728882122725701e-05
0.0009000000000000001	0.0	4	485	0.474	0.08341237417691261	0.06644818907554553	2.1986040045385918e-05	4.158665156506628e-05
0.001	0.0	6	491	0.49	0.0919396405974236	0.07122515730113568	2.4877126109710564e-05	4.586721099517124e-05
0.0	0.0001	7	194	0.116	0.007741285463054199	0.012045507357883874	2.3455073578838735e-06	4.2353280170837345e-06
0.0001	0.0001	8	190	0.124	0.006357721224220394	0.021816270728316545	1.8930249000818213e-06	3.2099134939162246e-06
0.0002	0.0001	10	184	0.136	0.012506656362831823	0.0316728276091259	3.7500906491540573e-06	6.341929402972228e-06
0.00030000000000000003	0.0001	8	183	0.138	0.0185714376862444	0.04060835176947941	5.943085738721752e-06	9.208456643827742e-06
0.0004	0.0001	10	184	0.136	0.025686639334245535	0.04873448186385463	8.476543129504147e-06	1.2633435078268652e-05
0.0005	0.0001	7	188	0.144	0.0352402256943074	0.056140779678368904	1.1399711129358643e-05	1.7481645601677737e-05
0.0006000000000000001	0.0001	9	194	0.16	0.04485202489779763	0.06288260582210224	1.4353097009004789e-05	2.230835409432896e-05
0.0007	0.0001	14	198	0.168	0.05404435471512525	0.069084434510723	1.7372943575816723e-05	2.6756347576467603e-05
0.0008	0.0001	9	200	0.176	0.06296870269279711	0.07484407600147228	2.052504888544683e-05	3.1257338983657085e-05
0.0009000000000000001	0.0001	7	208	0.196	0.07340323825848592	0.08019569056142242	2.3544388377098318e-05	3.666339941393808e-05
0.001	0.0001	6	212	0.2	0.08182368357251642	0.08516908948339803	2.65455674127841e-05	4.056491461276621e-05
0.0	0.0002	9	174	0.152	0.008075928269034758	0.01979233037689468	2.3923303768946803e-06	4.336515392515788e-06
0.0001	0.0002	8	170	0.16	0.011002247175908647	0.030811042930749634	3.407168818516977e-06	5.588570041852608e-06
0.0002	0.0002	7	170	0.164	0.016238427341083588	0.040740046071232466	5.083561027632118e-06	8.322313888580644e-06
0.00030000000000000003	0.0002	8	170	0.164	0.022451827582643018	0.04952980175144281	7.175318090088326e-06	1.138531028536881e-05
0.0004	0.0002	7	164	0.176	0.03037791868346882	0.05770048880937949	1.0317865909208924e-05	1.515083094646802e-05
0.0005	0.0002	7	169	0.174	0.037473771552316855	0.06509836305288627	1.2730204917462034e-05	1.8673447162664063e-05
0.0006000000000000001	0.0002	7	169	0.178	0.04523545115834217	0.07208993003189164	1.5826747575050747e-05	2.261461787481696e-05
0.0007	0.0002	7	166	0.18	0.05366255348783254	0.07831851646458683	1.922141020038123e-05	2.6523185622519705e-05
0.0008	0.0002	8	162	0.188	0.06388825903828214	0.08410908571881426	2.2939434557554015e-05	3.140428144516109e-05
0.0009000000000000001	0.0002	6	166	0.18	0.07101026360359433	0.08964219768342534	2.5838048116773013e-05	3.4892742284518964e-05
0.001	0.0002	7	164	0.196	0.08184093265079398	0.09455841614241732	2.94380688796103e-05	4.028274264008516e-05
0.0	0.00030000000000000003	8	158	0.184	0.01394163902984788	0.028025407049117625	4.325407049117622e-06	7.538184545781161e-06
0.0001	0.00030000000000000003	7	150	0.2	0.02024110903054046	0.03911750394575742	6.27024940127149e-06	1.0753370981725974e-05
0.0002	0.00030000000000000003	8	150	0.2	0.024890676426760478	0.048988855812200666	7.984588333649514e-06	1.308966824118129e-05
0.00030000000000000003	0.00030000000000000003	9	148	0.204	0.03137800842719937	0.057905370979666304	1.050130418427265e-05	1.637706427441013e-05
0.0004	0.00030000000000000003	9	150	0.2	0.03556061911654035	0.0659299937841446	1.2497738044476397e-05	1.7654454370519946e-05
0.0005	0.00030000000000000003	8	151	0.202	0.04425362397277358	0.07318400888047895	1.5213927060649554e-05	2.264009384880593e-05
0.0006000000000000001	0.00030000000000000003	8	150	0.208	0.05465120091108734	0.0799212546078627	1.8517152124049925e-05	2.806938182857544e-05
0.0007	0.00030000000000000003	8	145	0.218	0.06416251906530898	0.08640622494850746	2.288298482823045e-05	3.2548470100105335e-05
0.0008	0.00030000000000000003	9	149	0.206	0.06838093138053145	0.09199538504520982	2.471311097898451e-05	3.4564091766107154e-05
0.0009000000000000001	0.00030000000000000003	7	150	0.204	0.0751664916091732	0.09746421674306026	2.7905167325770753e-05	3.701201124781315e-05
0.001	0.00030000000000000003	7	150	0.212	0.08467849098704343	0.10250180868953312	3.126480827751746e-05	4.239156636331683e-05
0.0	0.0004	5	144	0.216	0.024363602104632492	0.03593121366820896	7.131213668208959e-06	1.2437952903857325e-05
0.0001	0.0004	8	134	0.232	0.03149376448648176	0.04732444552178233	1.0271549027264775e-05	1.7271875072010186e-05
0.0002	0.0004	8	142	0.216	0.029136960219607332	0.05655795216984718	9.591518853438409e-06	1.4770778099693671e-05
0.00030000000000000003	0.0004	9	135	0.23	0.04041032424442364	0.06565146114966007	1.3892603185866403e-05	2.0113529342723787e-05
0.0004	0.0004	7	140	0.22	0.04117238174603753	0.07357441109481512	1.4846991087110383e-05	2.0421236035811257e-05
0.0005	0.0004	7	135	0.23	0.052595397004306974	0.08075260833973699	1.8782431311726786e-05	2.5753842000269762e-05
0.0006000000000000001	0.0004	7	134	0.236	0.06246063017886139	0.08748796955564761	2.2169442359436422e-05	3.093084783719222e-05
0.0007	0.0004	7	134	0.24	0.07218266070163142	0.09379843056319923	2.5625402169316166e-05	3.717310190466945e-05
0.0008	0.0004	8	132	0.24	0.0798527547731538	0.09958864063568351	2.9531063922604805e-05	3.975887801687152e-05
0.0009000000000000001	0.0004	10	136	0.232	0.0819221563998647	0.10472440264025247	3.1032743114717354e-05	4.034598035241396e-05
